ISBN,レーベル名,レーベル名カナ,タイトル,出版社名,出版社名カナ,作者名,作者名カナ,発売日,本体価格,版型
9784758077163,百合姫コミックス,ユリヒメコミックス,捏造トラップ-NTR- 5,一迅社,イチジンシャ,コダマナオコ,コダマナオコ,2017-07-18,1450,B6
9784758077705,百合姫コミックス,ユリヒメコミックス,捏造トラップ-NTR- 6,一迅社,イチジンシャ,コダマナオコ,コダマナオコ,2018-01-18,680,B6
9784758078368,百合姫コミックス,ユリヒメコミックス,親がうるさいので後輩(♀)と偽装結婚して,一迅社,イチジンシャ,コダマナオコ,コダマナオコ,2018-07-18,680,B6
9784758077712,百合姫コミックス,ユリヒメコミックス,恋に煩い,一迅社,イチジンシャ,後藤悠希,ゴトウユウキ,2018-01-18,680,B6
9784758078412,百合姫コミックス,ユリヒメコミックス,Roid-ロイド- 1,一迅社,イチジンシャ,しろし,シロシ,2018-07-18,680,B6
9784758078382,百合姫コミックス,ユリヒメコミックス,君に好きっていわせたい,一迅社,イチジンシャ,竹嶋えく,タケミヤジン,2018-07-18,680,B6
9784758078245,百合姫コミックス,ユリヒメコミックス,モデルちゃんと地味マネさん 1,一迅社,イチジンシャ,たねこ,タネコ,2018-06-18,680,B6
9784758078214,百合姫コミックス,ユリヒメコミックス,行進子犬に恋文を 1,一迅社,イチジンシャ,玉崎たま,タマサキタマ,2018-06-18,680,B6
9784758078894,百合姫コミックス,ユリヒメコミックス,行進子犬に恋文を 2,一迅社,イチジンシャ,玉崎たま,タマサキタマ,2018-12-18,680,B6
9784758078436,百合姫コミックス,ユリヒメコミックス,三日月のカルテ 1,一迅社,イチジンシャ,七坂なな,ナナサカナナ,2018-07-18,680,B6
9784758078252,百合姫コミックス,ユリヒメコミックス,君は少女,一迅社,イチジンシャ,ななつ藤,ナナツフジ,2018-06-18,680,B6
9784758078054,百合姫コミックス,ユリヒメコミックス,徒然日和 1,一迅社,イチジンシャ,土室圭,ハムロケイ,2018-04-18,680,B6
9784758079044,百合姫コミックス,ユリヒメコミックス,徒然日和 2,一迅社,イチジンシャ,土室圭,ハムロケイ,2019-02-18,680,B6
9784758078658,百合姫コミックス,ユリヒメコミックス,ゆりこん 1,一迅社,イチジンシャ,久川はる,ヒサカワハル,2018-09-18,680,B6
